;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
20/10/2016 21:00;75.0;76.0;74.0;0.0;;;8.9;8.9;8.4;120.0;7.5
20/10/2016 20:00;75.0;83.0;73.0;0.0;;;8.4;8.5;7.7;124.0;2.0
20/10/2016 19:00;82.0;100.0;74.0;0.0;0.0;;7.8;8.6;6.2;96.0;4.5
20/10/2016 18:00;99.0;99.0;78.0;0.0;;;7.0;10.0;7.0;128.0;1.8
20/10/2016 17:00;91.0;99.0;89.0;0.0;;;8.8;8.9;8.1;247.0;0.8
20/10/2016 16:00;;98.0;54.0;0.0;;;;12.9;8.0;;
20/10/2016 15:00;60.0;71.0;54.0;0.0;;;12.5;13.7;10.6;126.0;5.1
20/10/2016 14:00;63.0;64.0;55.0;0.0;;;10.9;12.1;10.7;125.0;8.4
20/10/2016 13:00;59.0;65.0;58.0;0.0;0.0;;11.1;12.1;10.0;154.0;12.3
20/10/2016 12:00;58.0;61.0;51.0;0.0;;;11.8;14.2;11.0;136.0;9.1
20/10/2016 11:00;54.0;70.0;53.0;0.0;;;12.6;12.8;9.3;158.0;13.3
20/10/2016 10:00;60.0;64.0;58.0;0.0;;;11.3;12.0;10.1;148.0;10.3
20/10/2016 9:00;62.0;64.0;58.0;0.0;;;10.1;10.5;9.0;152.0;11.8
20/10/2016 8:00;60.0;63.0;57.0;0.0;;;9.6;9.8;7.5;146.0;13.9
20/10/2016 7:00;63.0;66.0;60.0;0.0;0.0;;7.6;7.6;5.9;144.0;14.7
20/10/2016 6:00;66.0;66.0;54.0;0.0;;;6.1;6.9;6.1;149.0;12.6
20/10/2016 5:00;56.0;57.0;52.0;0.0;;;6.7;7.0;6.0;155.0;10.5
20/10/2016 4:00;55.0;57.0;53.0;0.0;;;6.0;6.3;5.8;150.0;12.6
20/10/2016 3:00;56.0;70.0;55.0;0.0;;;5.9;6.2;5.8;146.0;13.9
20/10/2016 2:00;65.0;71.0;51.0;0.0;;;6.2;6.3;5.9;143.0;13.5
20/10/2016 1:00;52.0;59.0;47.0;0.0;;;6.3;6.9;5.9;155.0;15.4
20/10/2016 0:00;48.0;55.0;44.0;0.0;;;6.8;7.2;6.5;143.0;15.3
19/10/2016 23:00;51.0;62.0;50.0;0.0;;;7.0;7.3;6.9;142.0;17.5
19/10/2016 22:00;60.0;63.0;46.0;0.0;;;7.3;8.3;7.3;153.0;12.0
