FECHA ;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
20/10/2016 21:00;86.0;86.0;84.0;0.0;;;23.8;25.0;23.8;;
20/10/2016 20:00;84.0;84.0;78.0;0.0;;;25.0;26.1;25.0;;
20/10/2016 19:00;78.0;78.0;69.0;0.0;0.0;;26.2;28.0;26.1;;
20/10/2016 18:00;69.0;69.0;60.0;0.0;;;28.0;30.5;28.0;;
20/10/2016 17:00;59.0;67.0;59.0;0.0;;;30.6;31.4;29.9;;
20/10/2016 16:00;66.0;74.0;65.0;0.0;;;29.8;29.9;28.5;;
20/10/2016 15:00;71.0;76.0;71.0;0.0;;;28.8;29.2;28.1;;
20/10/2016 14:00;74.0;76.0;56.0;0.0;;;29.2;30.9;28.8;;
20/10/2016 13:00;59.0;69.0;58.0;0.0;0.0;;30.6;30.7;27.5;;
20/10/2016 12:00;67.0;77.0;65.0;0.0;;;27.5;28.4;25.3;;
20/10/2016 11:00;76.0;82.0;75.0;0.0;;;25.8;25.8;23.7;;
20/10/2016 10:00;78.0;85.0;76.0;0.0;;;24.5;24.8;23.1;;
20/10/2016 9:00;86.0;90.0;85.0;0.0;;;23.0;23.1;21.6;;
20/10/2016 8:00;89.0;91.0;89.0;0.0;;;21.9;21.9;21.3;;
20/10/2016 7:00;91.0;92.0;91.0;0.0;0.0;;21.5;21.5;21.2;;
20/10/2016 6:00;92.0;92.0;90.0;0.0;;;21.2;21.5;21.2;;
20/10/2016 5:00;90.0;92.0;90.0;0.0;;;21.5;21.5;21.4;;
20/10/2016 4:00;91.0;92.0;90.0;0.0;;;21.4;21.6;21.3;;
20/10/2016 3:00;;88.0;88.0;0.0;;;;22.2;22.2;;
20/10/2016 2:00;;88.0;85.0;0.0;;;;22.4;22.2;;
20/10/2016 1:00;85.0;85.0;83.0;0.0;;;22.4;22.6;22.4;;
20/10/2016 0:00;;84.0;83.0;0.0;;;;22.8;22.6;;
19/10/2016 23:00;83.0;83.0;82.0;0.0;;;22.8;23.1;22.8;;
19/10/2016 22:00;82.0;84.0;82.0;0.0;;;23.1;23.2;23.1;;
