;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
22/10/2016 22:00;97.0;;;;;;;;;;
22/10/2016 21:00;;;;;;;;10.2;;;
22/10/2016 19:00;;;;;1.1;;;;;;
22/10/2016 18:00;;99.0;99.0;0.0;;;;13.1;12.4;;
22/10/2016 17:00;;99.0;99.0;0.0;;;;12.8;12.5;;
22/10/2016 16:00;;99.0;99.0;0.6;;;;13.1;12.3;;
22/10/2016 15:00;;99.0;96.0;0.4;;;;13.0;12.3;;
22/10/2016 14:00;;93.0;89.0;0.0;;;;13.9;13.4;;
22/10/2016 13:00;90.0;92.0;86.0;0.0;9.0;;13.6;14.7;13.1;23.0;1.6
22/10/2016 12:00;;97.0;79.0;0.1;;;;16.3;13.7;;
22/10/2016 11:00;;97.0;89.0;1.3;;;;14.6;13.2;;
22/10/2016 10:00;;97.0;90.0;2.6;;;;13.9;12.4;;
22/10/2016 9:00;93.0;94.0;88.0;2.7;;;12.9;13.7;12.5;29.0;3.4
22/10/2016 8:00;89.0;94.0;78.0;2.2;;;13.2;13.3;10.4;7.0;1.3
22/10/2016 7:00;79.0;83.0;76.0;0.0;0.0;;10.8;11.0;9.3;169.0;2.1
22/10/2016 6:00;80.0;81.0;75.0;0.0;;;9.6;10.6;9.2;176.0;2.5
22/10/2016 5:00;75.0;83.0;75.0;0.0;;;10.6;10.6;9.1;185.0;3.1
22/10/2016 4:00;75.0;78.0;74.0;0.0;;;10.3;10.4;9.7;180.0;2.8
22/10/2016 3:00;74.0;78.0;71.0;0.0;;;10.1;10.6;9.2;183.0;2.8
22/10/2016 2:00;77.0;79.0;70.0;0.0;;;9.2;10.6;9.2;190.0;2.1
22/10/2016 1:00;77.0;80.0;66.0;0.0;;;10.0;11.9;9.3;181.0;1.9
22/10/2016 0:00;66.0;71.0;66.0;0.0;;;11.9;12.5;11.6;184.0;2.7
