FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
23/10/2016 13:00;;;;;0.0;;;;;;
23/10/2016 12:00;;75.0;62.0;0.0;;;;16.3;14.3;;
23/10/2016 11:00;66.0;70.0;58.0;0.0;;709.4;14.6;15.9;13.9;346.0;1.9
23/10/2016 10:00;60.0;70.0;50.0;0.0;;709.5;15.6;17.9;14.6;353.0;2.6
23/10/2016 9:00;66.0;75.0;63.0;0.0;;709.7;14.6;15.4;12.5;11.0;2.3
23/10/2016 8:00;69.0;80.0;68.0;0.0;;709.3;13.4;13.5;10.1;347.0;1.1
23/10/2016 7:00;78.0;81.0;73.0;0.0;0.0;708.9;10.1;11.0;9.2;42.0;0.5
23/10/2016 6:00;76.0;79.0;75.0;0.0;;708.3;10.9;11.0;10.1;175.0;2.0
23/10/2016 5:00;76.0;79.0;76.0;0.0;;707.8;10.7;10.9;10.4;150.0;1.5
23/10/2016 4:00;75.0;81.0;73.0;0.0;;707.7;11.1;11.4;10.5;80.0;1.2
23/10/2016 3:00;81.0;81.0;76.0;0.0;;707.5;10.5;11.4;10.4;86.0;1.4
23/10/2016 2:00;77.0;77.0;75.0;0.0;;707.7;11.3;11.5;11.2;168.0;2.3
23/10/2016 1:00;76.0;77.0;73.0;0.0;;708.1;11.4;11.9;11.4;108.0;1.7
23/10/2016 0:00;73.0;74.0;71.0;0.0;;708.7;11.9;12.0;11.7;153.0;3.3
22/10/2016 23:00;73.0;76.0;73.0;0.0;;709.0;11.8;11.8;11.0;142.0;2.3
22/10/2016 22:00;73.0;77.0;72.0;0.0;;709.0;11.8;11.8;11.4;116.0;2.9
