FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
23/10/2016 13:00;;;;;0.0;;;;;;
23/10/2016 12:00;;93.0;79.0;0.0;;;;9.9;7.9;;
23/10/2016 11:00;82.0;85.0;76.0;0.0;;;9.3;10.0;8.3;295.0;2.6
23/10/2016 10:00;79.0;83.0;76.0;0.0;;;;9.0;7.6;303.0;
23/10/2016 9:00;;81.0;68.0;0.0;;;;10.7;8.3;;
23/10/2016 8:00;69.0;76.0;65.0;0.0;;;10.9;11.0;8.8;22.0;1.6
23/10/2016 7:00;;80.0;77.0;0.0;0.1;;8.8;8.8;7.0;;
23/10/2016 6:00;;84.0;77.0;0.0;;;;8.0;7.3;;
23/10/2016 5:00;;84.0;77.0;0.0;;;;8.1;7.5;;
23/10/2016 4:00;;85.0;83.0;0.0;;;;7.6;7.4;;
23/10/2016 3:00;85.0;95.0;85.0;0.0;;;7.4;7.4;6.5;150.0;7.0
23/10/2016 2:00;;97.0;88.0;0.0;;;;6.9;6.5;;
23/10/2016 1:00;;100.0;94.0;0.0;;;;6.7;6.2;;
23/10/2016 0:00;100.0;100.0;100.0;0.0;;;;6.7;6.3;141.0;0.7
22/10/2016 23:00;;100.0;100.0;0.0;;;;7.1;7.1;;
