;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO 
25/09/2016 21:00;75.0;77.0;73.0;0.0;;;7.5;7.6;7.3;139.0;8.4
25/09/2016 20:00;73.0;75.0;72.0;0.0;;;7.5;7.8;7.5;124.0;10.3
25/09/2016 19:00;75.0;75.0;73.0;0.0;0.1;;7.7;8.4;7.7;125.0;9.4
25/09/2016 18:00;74.0;77.0;72.0;0.0;;;8.4;9.2;8.3;121.0;6.9
25/09/2016 17:00;73.0;83.0;70.0;0.0;;;9.2;9.9;8.8;127.0;6.5
25/09/2016 16:00;74.0;82.0;70.0;0.0;;;9.1;9.9;8.3;105.0;8.7
25/09/2016 15:00;78.0;86.0;75.0;0.1;;;9.3;9.4;8.0;141.0;10.0
25/09/2016 14:00;77.0;80.0;68.0;0.0;;;8.7;10.3;8.5;110.0;9.3
25/09/2016 13:00;73.0;81.0;71.0;0.0;0.0;;9.5;10.0;8.1;110.0;11.4
25/09/2016 12:00;77.0;79.0;70.0;0.0;;;8.2;9.8;8.1;140.0;11.3
25/09/2016 11:00;75.0;81.0;67.0;0.0;;;8.5;10.8;8.4;143.0;11.9
25/09/2016 10:00;78.0;89.0;74.0;0.0;;;9.4;9.4;7.8;120.0;10.0
25/09/2016 9:00;86.0;94.0;83.0;0.0;;;7.9;8.0;5.9;110.0;7.5
25/09/2016 8:00;90.0;91.0;83.0;0.0;;;6.1;6.3;5.7;117.0;2.6
25/09/2016 7:00;83.0;85.0;75.0;0.0;0.0;;6.1;6.8;5.8;113.0;6.3
25/09/2016 6:00;76.0;76.0;73.0;0.0;;;6.7;6.7;6.3;126.0;7.8
25/09/2016 5:00;74.0;78.0;74.0;0.0;;;6.3;6.3;5.9;127.0;8.3
25/09/2016 4:00;78.0;78.0;71.0;0.0;;;5.9;6.6;5.9;133.0;9.6
25/09/2016 3:00;73.0;76.0;72.0;0.0;;;6.3;6.5;6.1;128.0;9.4
25/09/2016 2:00;74.0;78.0;72.0;0.0;;;6.4;6.6;6.2;129.0;9.2
25/09/2016 1:00;76.0;76.0;71.0;0.0;;;6.4;6.7;6.4;128.0;9.4
25/09/2016 0:00;75.0;76.0;71.0;0.0;;;6.6;6.9;6.5;144.0;11.8
24/09/2016 23:00;73.0;78.0;73.0;0.0;;;6.8;6.9;6.7;130.0;10.6
24/09/2016 22:00;77.0;77.0;72.0;0.0;;;6.8;7.0;6.8;133.0;9.7
