FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA ;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
25/9/2016 21:00;91.0;91.0;89.0;0.0;;;24.2;24.5;24.2;;
25/9/2016 20:00;91.0;93.0;87.0;0.0;;;24.2;25.1;24.0;;
25/9/2016 19:00;87.0;87.0;77.0;0.0;0.0;;25.1;27.6;25.1;;
25/9/2016 18:00;76.0;77.0;68.0;0.0;;;27.7;29.2;27.7;;
25/9/2016 17:00;68.0;68.0;63.0;0.0;;;29.2;30.7;29.2;;
25/9/2016 16:00;66.0;67.0;57.0;0.0;;;29.8;32.4;29.7;;
25/9/2016 15:00;62.0;67.0;59.0;0.0;;;30.9;31.8;29.7;;
25/9/2016 14:00;65.0;74.0;65.0;0.0;;;30.1;30.3;27.9;;
25/9/2016 13:00;74.0;75.0;70.0;0.0;0.0;;27.8;28.6;27.4;;
25/9/2016 12:00;74.0;78.0;71.0;0.0;;;27.8;27.9;26.5;;
25/9/2016 11:00;76.0;80.0;73.0;0.0;;;26.6;27.2;25.9;;
25/9/2016 10:00;79.0;88.0;79.0;0.0;;;25.9;25.9;24.1;;
25/9/2016 9:00;86.0;89.0;84.0;0.0;;;24.4;24.6;23.7;;
25/9/2016 8:00;88.0;95.0;88.0;0.0;;;23.7;23.7;22.6;;
25/9/2016 7:00;95.0;96.0;95.0;0.0;0.0;;22.6;22.6;22.2;;
25/9/2016 6:00;96.0;96.0;95.0;0.0;;;22.2;22.3;22.2;;
25/9/2016 5:00;96.0;96.0;96.0;0.0;;;22.3;22.3;22.2;;
25/9/2016 4:00;96.0;96.0;93.0;0.0;;;22.3;22.5;22.2;;
25/9/2016 3:00;92.0;93.0;90.0;0.0;;;22.5;22.8;22.5;;
25/9/2016 2:00;90.0;90.0;89.0;0.0;;;22.8;22.9;22.8;;
25/9/2016 1:00;89.0;90.0;89.0;0.0;;;22.9;23.0;22.9;;
25/9/2016 0:00;89.0;93.0;89.0;0.0;;;22.9;22.9;22.6;;
24/9/2016 23:00;93.0;93.0;91.0;0.0;;;22.8;23.2;22.8;;
24/9/2016 22:00;92.0;92.0;89.0;0.0;;;23.2;23.8;23.2;;
