;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
25/10/2016 0:00;89.0;90.0;83.0;0.0;;;12.2;12.6;12.2;182.0;0.9
24/10/2016 23:00;88.0;96.0;81.0;0.0;;;12.3;12.7;11.8;178.0;1.2
24/10/2016 22:00;96.0;97.0;94.0;0.0;;;11.8;12.0;11.6;191.0;1.2
24/10/2016 21:00;97.0;98.0;96.0;0.0;;;12.0;12.0;11.6;217.0;0.9
24/10/2016 20:00;98.0;99.0;97.0;0.0;;;11.6;12.0;11.6;17.0;0.5
24/10/2016 19:00;;;;;0.0;;;;;;
24/10/2016 18:00;;96.0;89.0;0.0;;;;12.5;12.3;;
24/10/2016 17:00;95.0;99.0;95.0;0.0;;;12.3;12.5;12.0;74.0;0.6
24/10/2016 16:00;99.0;99.0;99.0;0.0;;;12.1;13.2;11.9;39.0;1.6
24/10/2016 15:00;99.0;99.0;98.0;0.0;;;13.0;13.9;12.8;346.0;1.3
24/10/2016 14:00;;98.0;92.0;0.0;;;;15.1;14.0;;
24/10/2016 13:00;93.0;94.0;83.0;0.0;0.0;;14.6;16.3;14.4;32.0;2.4
