FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA ;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA ;DIREACCION DEL VIENTO ;VELOCIDAD DEL VIENTO
26/9/2016 21:00;87.0;88.0;86.0;0.0;;;24.7;25.0;24.7;;
26/9/2016 20:00;86.0;87.0;84.0;0.0;;;25.0;25.4;25.0;;
26/9/2016 19:00;84.0;86.0;80.0;0.0;0.0;;25.4;26.1;25.4;;
26/9/2016 18:00;80.0;80.0;77.0;0.0;;;26.1;26.8;26.1;;
26/9/2016 17:00;;78.0;76.0;0.0;;;;27.1;26.7;;
26/9/2016 16:00;76.0;77.0;72.0;0.0;;;27.0;27.7;27.0;;
26/9/2016 15:00;74.0;75.0;71.0;0.0;;;27.6;28.0;27.2;;
26/9/2016 14:00;74.0;76.0;69.0;0.0;;;27.3;28.3;27.2;;
26/9/2016 13:00;71.0;79.0;70.0;0.0;0.0;;28.0;28.3;26.2;;
26/9/2016 12:00;78.0;84.0;77.0;0.0;;;26.4;26.4;25.3;;
26/9/2016 11:00;83.0;87.0;82.0;0.0;;;25.3;25.4;24.7;;
26/9/2016 10:00;87.0;91.0;86.0;0.0;;;24.7;24.8;24.0;;
26/9/2016 9:00;88.0;99.0;88.0;0.0;;;24.4;24.4;22.7;;
26/9/2016 8:00;99.0;100.0;99.0;0.0;;;22.6;22.7;21.9;;
26/9/2016 7:00;100.0;100.0;100.0;0.2;1.1;;21.9;22.1;21.9;;
26/9/2016 6:00;100.0;100.0;100.0;0.1;;;22.0;22.1;22.0;;
26/9/2016 5:00;100.0;100.0;100.0;0.4;;;22.0;22.3;22.0;;
26/9/2016 4:00;100.0;100.0;100.0;0.4;;;22.2;22.5;22.2;;
26/9/2016 3:00;100.0;100.0;95.0;0.0;;;22.5;23.1;22.5;;
26/9/2016 2:00;95.0;95.0;91.0;0.0;;;23.1;23.8;23.1;;
26/9/2016 1:00;91.0;91.0;90.0;0.0;;;23.8;24.0;23.8;;
26/9/2016 0:00;90.0;91.0;90.0;0.0;;;24.0;24.1;24.0;;
25/9/2016 23:00;90.0;94.0;90.0;0.0;;;24.1;24.1;23.7;;
25/9/2016 22:00;94.0;94.0;91.0;0.0;;;23.7;24.2;23.7;;
