FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFÉRICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
26/09/2016 21:00;85.0;89.0;85.0;0.0;;;11.3;11.3;10.4;182.0;3.8
26/09/2016 20:00;;89.0;82.0;0.0;;;;12.6;11.3;;
26/09/2016 19:00;86.0;87.0;78.0;0.0;0.0;;12.5;13.5;12.5;322.0;0.5
26/09/2016 18:00;85.0;85.0;69.0;0.0;;;13.5;15.6;13.5;32.0;2.0
26/09/2016 17:00;71.0;85.0;68.0;0.0;;;14.8;14.9;13.8;201.0;0.4
26/09/2016 16:00;;86.0;83.0;0.0;;;;14.4;14.0;;
26/09/2016 15:00;;89.0;78.0;0.0;;;;14.6;14.0;;
26/09/2016 14:00;;91.0;79.0;0.0;;;;16.8;14.6;;
26/09/2016 13:00;;87.0;76.0;0.0;0.0;;;17.9;15.9;;
26/09/2016 12:00;79.0;89.0;76.0;0.0;;;16.5;17.7;15.8;32.0;2.4
26/09/2016 11:00;;86.0;81.0;0.0;;;;16.2;15.9;;
26/09/2016 8:00;;70.0;63.0;0.0;;;;13.3;12.7;;
26/09/2016 7:00;67.0;68.0;56.0;0.0;0.0;;12.6;13.2;11.1;174.0;2.4
26/09/2016 6:00;66.0;74.0;59.0;0.0;;;11.5;12.8;10.8;167.0;2.0
26/09/2016 5:00;72.0;79.0;66.0;0.0;;;11.1;11.4;9.8;157.0;1.6
26/09/2016 4:00;74.0;79.0;57.0;0.0;;;10.5;13.9;10.3;203.0;1.2
26/09/2016 3:00;61.0;74.0;61.0;0.0;;;13.6;13.8;12.3;70.0;2.9
26/09/2016 2:00;66.0;97.0;63.0;0.0;;;13.4;13.9;9.0;47.0;4.5
26/09/2016 1:00;97.0;98.0;96.0;0.0;;;9.3;10.9;9.2;193.0;1.5
26/09/2016 0:00;97.0;97.0;93.0;0.0;;;10.9;10.9;10.2;190.0;1.3
25/09/2016 23:00;95.0;96.0;92.0;0.0;;;10.3;10.9;10.1;165.0;0.6
25/09/2016 22:00;95.0;96.0;95.0;0.0;;;10.9;11.7;10.9;180.0;0.6
