;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
26/10/2016 22:00;38;52;37;0;;;5,4;6,2;5,3;173;1,8
26/10/2016 21:00;47;80;46;0;;;6,2;6,2;4,2;152;1,5
26/10/2016 20:00;73;96;73;0;;;5,2;5,2;4;202;1,6
26/10/2016 19:00;94;100;94;0;0;;4,6;6,4;4,5;191;1,1
26/10/2016 18:00;100;100;99;0;;;6,2;7;6,1;343;2,3
26/10/2016 17:00;100;100;99;0;;;6,8;7;6,4;340;1
26/10/2016 16:00;100;100;100;0;;;6,8;8,4;6,7;326;2,9
26/10/2016 15:00;100;100;99;0;;;7,6;8,5;7,4;322;3,4
26/10/2016 14:00;100;100;96;0;;;8;8,8;7,9;326;4,5
26/10/2016 13:00;98;98;84;0;0;;8,8;9,6;8,4;325;4,7
26/10/2016 12:00;84;89;73;0;;;9,5;10;8,6;317;3,9
26/10/2016 11:00;78;81;68;0;;;8,6;9,8;8,4;308;3,1
26/10/2016 10:00;73;78;70;0;;;8,6;8,7;7,7;317;2,8
26/10/2016 9:00;76;80;52;0;;;8;8,4;6,7;298;2,1
26/10/2016 8:00;71;83;69;0;;;6,7;7,5;5,4;25;0,7
26/10/2016 7:00;82;85;56;0;0,1;;5,4;5,4;3,8;310;0,6
26/10/2016 6:00;54;83;50;0;;;4;4,7;3,9;193;2,2
26/10/2016 5:00;72;82;70;0;;;4,4;4,8;3,9;185;0,9
26/10/2016 4:00;78;82;69;0;;;4,4;5;4,3;162;0,7
26/10/2016 3:00;82;86;81;0;;;4,8;5;4,4;135;0,7
26/10/2016 2:00;83;87;83;0;;;5;5;4,6;273;1,7
26/10/2016 1:00;87;87;84;0;;;4,7;5,6;4,6;266;1,4
26/10/2016 0:00;87;100;87;0;;;5,4;5,5;4,6;258;2
25/10/2016 23:00;100;100;100;0;;;4,6;4,7;4,3;262;1,2
