FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA DEL AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA DEL AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
27/09/2016 20:00;;89.0;86.0;0.0;;;;12.5;12.1;;
27/09/2016 19:00;88.0;93.0;84.0;0.0;0.0;;12.1;12.4;11.8;176.0;0.8
27/09/2016 18:00;93.0;96.0;93.0;0.0;;;12.0;12.2;11.7;197.0;1.1
27/09/2016 17:00;95.0;97.0;89.0;0.0;;;12.2;13.0;12.0;30.0;1.2
27/09/2016 16:00;;94.0;90.0;0.0;;;;13.7;13.2;;
27/09/2016 15:00;;90.0;85.0;0.0;;;;14.4;13.4;;
27/09/2016 14:00;85.0;86.0;75.0;0.0;;;14.0;16.8;13.9;44.0;4.1
27/09/2016 13:00;83.0;88.0;73.0;0.0;0.0;;16.0;17.5;15.2;35.0;3.9
27/09/2016 12:00;;80.0;72.0;0.0;;;;17.2;16.2;;
27/09/2016 11:00;;87.0;62.0;0.0;;;;17.3;16.0;;
27/09/2016 10:00;65.0;86.0;45.0;0.0;;;16.6;20.0;15.9;48.0;2.3
27/09/2016 9:00;78.0;79.0;53.0;0.0;;;16.8;17.8;16.4;15.0;3.9
27/09/2016 8:00;57.0;75.0;51.0;0.0;;;17.0;17.5;11.2;32.0;5.7
27/09/2016 7:00;73.0;78.0;72.0;0.0;0.0;;11.3;11.6;10.2;185.0;1.4
27/09/2016 6:00;73.0;76.0;58.0;0.0;;;11.7;13.9;11.0;217.0;2.2
27/09/2016 5:00;58.0;74.0;58.0;0.0;;;13.9;13.9;10.1;84.0;2.1
27/09/2016 4:00;62.0;87.0;62.0;0.0;;;13.6;13.7;8.9;45.0;4.2
27/09/2016 3:00;87.0;91.0;86.0;0.0;;;9.0;9.9;8.7;162.0;1.3
27/09/2016 2:00;87.0;89.0;84.0;0.0;;;9.9;10.6;9.4;192.0;1.6
27/09/2016 1:00;86.0;89.0;85.0;0.0;;;10.0;10.7;9.6;174.0;2.1
27/09/2016 0:00;87.0;88.0;85.0;0.0;;;10.6;11.2;10.4;182.0;2.1
26/09/2016 23:00;86.0;88.0;85.0;0.0;;;10.9;11.2;10.3;178.0;2.6
fech;85.0;89.0;84.0;0.0;;;11.1;11.5;10.2;180.0;1.9
