FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA; DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO
28/09/2016 22:00;79.0;86.0;78.0;0.0;;;11.7;12.1;11.2;167.0;1.2
28/09/2016 21:00;86.0;89.0;82.0;0.0;;;11.3;12.3;10.7;187.0;1.8
28/09/2016 20:00;87.0;92.0;87.0;0.0;;;11.9;11.9;11.1;176.0;2.4
28/09/2016 19:00;;92.0;85.0;0.0;0.0;;;13.6;11.9;;
28/09/2016 18:00;87.0;94.0;84.0;0.0;;;13.6;15.1;13.6;142.0;0.3
28/09/2016 17:00;89.0;97.0;76.0;0.0;;;14.5;16.7;13.7;194.0;0.5
28/09/2016 16:00;81.0;96.0;79.0;0.0;;;15.5;15.6;14.0;94.0;0.2
28/09/2016 15:00;91.0;94.0;81.0;0.0;;;14.6;15.6;13.7;49.0;2.7
28/09/2016 14:00;84.0;89.0;76.0;0.0;;;15.5;16.2;14.6;15.0;2.0
28/09/2016 13:00;82.0;89.0;77.0;0.0;0.0;;16.1;16.7;15.1;36.0;2.5
28/09/2016 12:00;77.0;89.0;75.0;0.0;;;15.2;17.3;14.6;325.0;0.4
28/09/2016 11:00;77.0;84.0;70.0;0.0;;;16.0;17.7;15.5;33.0;3.7
28/09/2016 10:00;79.0;87.0;71.0;0.0;;;15.5;18.1;15.1;47.0;1.4
28/09/2016 9:00;;87.0;68.0;0.0;;;;16.0;14.4;;
28/09/2016 8:00;75.0;85.0;69.0;0.0;;;15.1;15.8;13.1;52.0;0.3
28/09/2016 7:00;83.0;86.0;81.0;0.0;0.0;;13.1;13.1;11.1;152.0;1.1
28/09/2016 6:00;85.0;89.0;83.0;0.0;;;11.3;11.7;11.1;171.0;1.6
28/09/2016 5:00;90.0;92.0;89.0;0.0;;;11.0;11.2;10.5;174.0;0.9
28/09/2016 4:00;89.0;91.0;88.0;0.0;;;11.1;11.6;11.0;181.0;1.3
28/09/2016 3:00;88.0;93.0;88.0;0.0;;;11.6;11.6;11.1;183.0;0.7
28/09/2016 2:00;93.0;94.0;93.0;0.0;;;11.2;11.2;10.6;195.0;1.5
28/09/2016 1:00;93.0;95.0;93.0;0.0;;;10.7;11.1;10.6;337.0;0.3
28/09/2016 0:00;94.0;95.0;92.0;0.0;;;11.0;11.0;10.1;198.0;1.6
27/09/2016 23:00;92.0;95.0;90.0;0.0;;;10.3;11.3;10.1;166.0;1.3
