fecha;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
28/10/2016 21:00;73;73;70;0;;;7,9;8,8;7,8;119;8,7
28/10/2016 20:00;71;73;70;0;;;8,7;9;8,6;130;8,9
28/10/2016 19:00;73;76;69;0;0;;9;10;8,7;123;9,4
28/10/2016 18:00;70;70;54;0;;;10,1;12,1;9,8;116;5,4
28/10/2016 17:00;55;66;38;0;;;11,2;12,5;10,9;325;2,4
28/10/2016 16:00;46;59;21;0;;;12,3;13,1;11,9;323;3
28/10/2016 15:00;38;58;25;0;;;12,5;13;11;326;3,8
28/10/2016 14:00;37;60;34;0;;;12,3;12,6;11,5;325;4,4
28/10/2016 13:00;55;62;48;0;0;;12,1;12,1;10,3;316;3,9
28/10/2016 12:00;58;59;35;0;;;11;12,7;11;318;3,5
28/10/2016 11:00;41;46;32;0;;;11,9;12,8;11,3;323;2,5
28/10/2016 10:00;34;45;25;0;;;11,8;12,6;11;308;3,4
28/10/2016 9:00;30;35;21;0;;;11,6;12,1;10,7;320;1,9
28/10/2016 8:00;24;31;23;0;;;10,6;10,8;8,7;88;1,4
28/10/2016 7:00;27;28;22;0;0;;8,8;9,1;8,6;149;1,3
28/10/2016 6:00;23;28;23;0;;;8,6;8,8;6,9;165;1,3
28/10/2016 5:00;26;35;23;0;;;7,8;8,4;5,9;162;1,5
28/10/2016 4:00;25;26;17;0;;;8,3;8,3;7,3;262;0,7
28/10/2016 3:00;18;21;14;0; ;;7,9;8,5;7,2;137;1,3
28/10/2016 2:00;14;17;12;0;;;8,4;8,8;7,4;131;2,9
28/10/2016 1:00;13;14;11;0;;;8,4;9,2;7,9;109;4
28/10/2016 0:00;13;16;13;0;;;8,3;8,8;7,9;156;3,6
27/10/2016 23:00;15;18;14;0;;;8,4;9,1;8,4;172;1,5
