feha;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);Presion atmosferica;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
28/10/2016 21:00;93.0;93.0;90.0;0.0;;;21.5;22.0;21.4;;
28/10/2016 20:00;90.0;90.0;86.0;0.0;;;22.0;22.9;21.9;;
28/10/2016 19:00;86.0;86.0;78.0;0.0;0.0;;23.0;25.1;22.9;;
28/10/2016 18:00;78.0;78.0;67.0;0.0;;;25.1;27.3;25.1;;
28/10/2016 17:00;68.0;68.0;63.0;0.0;;;27.4;28.9;27.3;;
28/10/2016 16:00;65.0;70.0;65.0;0.0;;;28.5;28.5;27.2;;
28/10/2016 15:00;69.0;70.0;68.0;0.0;;;27.2;27.4;26.9;;
28/10/2016 14:00;69.0;74.0;68.0;0.0;;;27.4;27.7;26.4;;
28/10/2016 13:00;73.0;77.0;72.0;0.0;0.0;;26.3;26.6;25.8;;
28/10/2016 12:00;76.0;82.0;76.0;0.0;;;25.9;26.1;24.6;;
28/10/2016 11:00;81.0;85.0;81.0;0.0;;;24.8;24.9;23.9;;
28/10/2016 10:00;85.0;90.0;85.0;0.0;;;24.0;24.1;22.7;;
28/10/2016 9:00;90.0;91.0;90.0;0.0;;;22.6;22.7;22.1;;
28/10/2016 8:00;91.0;92.0;91.0;0.0;;;22.1;22.1;21.8;;
28/10/2016 7:00;92.0;93.0;92.0;0.0;0.0;;21.8;21.8;21.6;;
28/10/2016 6:00;93.0;93.0;93.0;0.0;;;21.6;21.6;21.5;;
28/10/2016 5:00;93.0;93.0;93.0;0.0;;;21.6;21.7;21.6;;
28/10/2016 4:00;93.0;93.0;93.0;0.0;;;21.6;21.6;21.6;;
28/10/2016 3:00;93.0;93.0;92.0;0.0;;;21.6;21.7;21.6;;
28/10/2016 2:00;92.0;92.0;91.0;0.0;;;21.7;21.7;21.6;;
28/10/2016 1:00;91.0;92.0;91.0;0.0;;;21.6;21.8;21.6;;
28/10/2016 0:00;91.0;91.0;88.0;0.0;;;21.8;22.2;21.8;;
27/10/2016 23:00;88.0;88.0;87.0;0.0;;;22.2;22.7;22.2;;
27/10/2016 22:00;;87.0;86.0;0.0;;;;22.8;22.7;;
