FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
29/9/2016 21:00;88.0;90.0;87.0;0.0;;;23.6;24.4;23.6;;
29/9/2016 20:00;87.0;87.0;81.0;0.0;;;24.4;25.5;24.4;;
29/9/2016 19:00;81.0;81.0;75.0;0.0;0.0;;25.6;26.9;25.5;;
29/9/2016 18:00;75.0;75.0;67.0;0.0;;;26.9;29.0;26.9;;
29/9/2016 17:00;67.0;67.0;60.0;0.0;;;29.1;31.1;29.0;;
29/9/2016 16:00;62.0;65.0;58.0;0.0;;;30.6;31.9;30.2;;
29/9/2016 15:00;63.0;65.0;55.0;0.0;;;30.5;32.4;29.6;;
29/9/2016 14:00;62.0;74.0;60.0;0.0;;;29.8;31.2;28.5;;
29/9/2016 13:00;68.0;74.0;65.0;0.0;0.1;;29.4;29.5;27.9;;
29/9/2016 12:00;70.0;76.0;67.0;0.0;;;29.0;29.1;26.9;;
29/9/2016 11:00;72.0;84.0;69.0;0.0;;;27.9;28.8;25.7;;
29/9/2016 10:00;83.0;91.0;82.0;0.0;;;25.8;25.8;24.0;;
29/9/2016 9:00;89.0;99.0;89.0;0.0;;;24.3;24.4;22.5;;
29/9/2016 8:00;99.0;100.0;99.0;0.1;;;22.6;22.6;21.9;;
29/9/2016 7:00;100.0;100.0;100.0;0.0;0.5;;21.9;22.0;21.8;;
29/9/2016 6:00;100.0;100.0;100.0;0.1;;;21.8;22.0;21.8;;
29/9/2016 5:00;100.0;100.0;100.0;0.2;;;22.0;22.0;21.9;;
29/9/2016 4:00;100.0;100.0;98.0;0.2;;;22.0;22.3;22.0;;
29/9/2016 3:00;98.0;98.0;94.0;0.0;;;22.3;22.8;22.2;;
29/9/2016 2:00;94.0;95.0;92.0;0.0;;;22.8;23.2;22.8;;
29/9/2016 1:00;92.0;92.0;92.0;0.0;;;23.2;23.3;23.2;;
29/9/2016 0:00;92.0;93.0;92.0;0.0;;;23.3;23.3;23.3;;
28/9/2016 23:00;93.0;98.0;93.0;0.0;;;23.3;23.3;22.7;;
28/9/2016 22:00;98.0;98.0;95.0;0.0;;;22.7;22.9;22.3;;
