FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFÉRICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA; DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO
29/09/2016 23:00;87.0;89.0;86.0;0.0;;;11.5;11.6;10.9;183.0;1.5
29/09/2016 22:00;89.0;90.0;83.0;0.0;;;10.9;12.1;10.3;184.0;1.7
29/09/2016 21:00;83.0;89.0;79.0;0.0;;;12.2;12.6;12.0;354.0;0.3
29/09/2016 20:00;;97.0;74.0;0.0;;;;13.0;11.8;;
29/09/2016 19:00;81.0;99.0;79.0;0.0;0.0;;12.6;12.7;12.0;207.0;1.8
29/09/2016 18:00;98.0;98.0;96.0;0.0;;;12.3;12.8;12.2;24.0;1.3
29/09/2016 17:00;97.0;97.0;91.0;0.0;;;12.8;13.5;12.6;5.0;1.4
29/09/2016 16:00;95.0;97.0;76.0;0.0;;;13.6;14.1;12.8;36.0;1.7
29/09/2016 15:00;85.0;95.0;84.0;0.0;;;13.6;13.6;12.8;29.0;1.2
29/09/2016 14:00;94.0;98.0;89.0;0.0;;;13.3;13.7;12.7;14.0;0.6
29/09/2016 13:00;90.0;97.0;88.0;0.0;0.0;;13.4;13.7;12.8;112.0;0.7
29/09/2016 12:00;;96.0;89.0;0.0;;;;14.8;13.7;;
29/09/2016 11:00;;90.0;79.0;0.0;;;;16.3;14.7;;
29/09/2016 10:00;;89.0;80.0;0.0;;;;16.7;15.0;;
29/09/2016 9:00;82.0;88.0;72.0;0.0;;;15.4;16.1;14.1;42.0;2.3
29/09/2016 8:00;74.0;81.0;65.0;0.0;;;15.7;15.8;11.7;34.0;1.4
29/09/2016 7:00;78.0;80.0;76.0;0.0;0.0;;11.8;12.0;11.2;4.0;0.1
29/09/2016 6:00;79.0;87.0;78.0;0.0;;;11.3;11.9;10.9;197.0;1.6
29/09/2016 5:00;84.0;89.0;82.0;0.0;;;11.2;11.4;10.2;179.0;1.8
29/09/2016 4:00;89.0;90.0;79.0;0.0;;;10.2;11.5;10.2;167.0;0.8
29/09/2016 3:00;80.0;85.0;78.0;0.0;;;11.5;11.9;10.8;136.0;0.5
29/09/2016 2:00;82.0;84.0;77.0;0.0;;;11.3;11.9;10.4;197.0;1.5
29/09/2016 1:00;82.0;84.0;78.0;0.0;;;10.6;11.4;10.4;194.0;1.8
