FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
29/10/2016 22:00;62;71;37;0;;;5,9;8;5,5;259;2,8
29/10/2016 21:00;57;70;55;0;;;6,9;7,3;6;150;6,2
29/10/2016 20:00;66;74;63;0;;;7;7,7;7;128;8,3
29/10/2016 19:00;73;76;72;0;0;;7,5;8,1;7;123;5,7
29/10/2016 18:00;74;74;64;0;;;7,2;10;7,2;100;2,6
29/10/2016 17:00;65;66;59;0;;;9,7;11,3;9,5;309;2,3
29/10/2016 16:00;61;63;57;0;;;10,9;12,1;10,7;324;3,4
29/10/2016 15:00;62;65;58;0;;;10,8;11,6;10,4;326;3
29/10/2016 14:00;59;64;58;0;;;10,9;11,3;10,2;310;3,4
29/10/2016 13:00;61;63;49;0;0;;10,6;13,1;10,4;318;3,5
29/10/2016 12:00;50;59;43;0;;;13,2;14,9;10,8;325;0,9
29/10/2016 11:00;52;53;43;0;;;11,3;14,8;11,3;334;3,2
29/10/2016 10:00;48;53;46;0;;;12;12,6;10,4;107;9,9
29/10/2016 9:00;51;57;48;0;;;10,5;11,3;9,7;93;8,2
29/10/2016 8:00;53;68;52;0;;;10;10;6,8;92;7,8
29/10/2016 7:00;67;76;65;0;0;;6,9;6,9;4,9;121;9,5
29/10/2016 6:00;66;71;63;0;;;5,6;6;4,6;144;7,2
29/10/2016 5:00;67;76;62;0;;;5,2;6,1;4,7;140;7,6
29/10/2016 4:00;71;77;63;0;;;5,4;6,3;5;127;6,2
29/10/2016 3:00;68;75;64;0;;;5,9;6,6;5,6;136;9,5
29/10/2016 2:00;67;68;57;0;;;6,4;7,5;6,4;140;8,2
29/10/2016 1:00;57;63;55;0;;;7,5;7,6;6,8;136;9
29/10/2016 0:00;61;63;53;0;;;7,1;8,2;6,5;141;10,3
