FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
29/10/2016 21:00;88.0;90.0;88.0;0.0;;;22.1;22.2;22.0;;
29/10/2016 20:00;90.0;90.0;86.0;0.0;;;22.1;22.9;22.1;;
29/10/2016 19:00;86.0;86.0;80.0;0.0;0.0;;22.9;24.6;22.9;;
29/10/2016 18:00;80.0;80.0;73.0;0.0;;;24.6;26.2;24.6;;
29/10/2016 17:00;73.0;73.0;71.0;0.0;;;26.2;26.9;26.2;;
29/10/2016 16:00;72.0;73.0;71.0;0.0;;;26.9;27.0;26.7;;
29/10/2016 15:00;72.0;74.0;69.0;0.0;;;26.6;27.5;26.3;;
29/10/2016 14:00;70.0;76.0;69.0;0.0;;;27.2;27.6;26.1;;
29/10/2016 13:00;70.0;76.0;69.0;0.0;;;27.2;27.6;26.1;;
29/10/2016 12:00;81.0;89.0;80.0;0.0;;;24.8;25.2;23.4;;
29/10/2016 11:00;81.0;89.0;80.0;0.0;;;24.8;25.2;23.4;;
29/10/2016 10:00;88.0;95.0;88.0;0.0;;;23.7;23.7;22.1;;
29/10/2016 9:00;95.0;98.0;95.0;0.2;;;22.1;22.2;21.2;;
29/10/2016 8:00;97.0;97.0;96.0;0.2;;;21.2;21.2;21.1;;
29/10/2016 7:00;96.0;96.0;95.0;0.0;0.0;;21.1;21.2;21.1;;
29/10/2016 6:00;95.0;95.0;94.0;0.0;;;21.1;21.3;21.1;;
29/10/2016 5:00;94.0;94.0;93.0;0.0;;;21.2;21.3;21.2;;
29/10/2016 4:00;93.0;93.0;93.0;0.0;;;21.2;21.5;21.2;;
29/10/2016 3:00;93.0;93.0;93.0;0.0;;;21.5;21.6;21.4;;
29/10/2016 2:00;93.0;94.0;93.0;0.0;;;21.6;21.9;21.6;;
29/10/2016 1:00;94.0;94.0;94.0;0.0;;;21.9;22.0;21.8;;
29/10/2016 0:00;94.0;95.0;94.0;0.0;;;22.0;22.1;22.0;;
28/10/2016 23:00;95.0;95.0;95.0;0.0;;;22.0;22.0;21.5;;
28/10/2016 22:00;95.0;95.0;93.0;0.0;;;21.4;21.6;21.4;;
