FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
30/10/2016 21:00;74.0;75.0;68.0;0.0;;708.1;8.1;8.9;7.8;195.0;1.5
30/10/2016 20:00;67.0;70.0;65.0;0.0;;707.9;9.0;9.6;8.4;288.0;0.3
30/10/2016 19:00;65.0;71.0;60.0;0.0;0.0;707.6;9.4;10.2;8.8;141.0;0.3
30/10/2016 18:00;61.0;66.0;59.0;0.0;;707.2;10.2;12.5;10.0;29.0;1.2
30/10/2016 17:00;62.0;64.0;55.0;0.0;;706.7;12.5;14.0;12.3;322.0;1.9
30/10/2016 16:00;55.0;62.0;52.0;0.0;;706.4;14.3;15.5;13.8;333.0;4.1
30/10/2016 15:00;57.0;64.0;54.0;0.0;;706.5;14.9;15.2;13.9;315.0;1.9
30/10/2016 14:00;60.0;61.0;44.0;0.0;;706.8;13.9;18.5;13.8;340.0;1.5
30/10/2016 13:00;45.0;53.0;44.0;0.0;0.0;707.1;18.5;19.5;17.6;118.0;3.7
30/10/2016 12:00;47.0;54.0;46.0;0.0;;707.8;18.7;19.0;17.0;171.0;4.1
30/10/2016 11:00;50.0;55.0;47.0;0.0;;708.5;17.1;17.6;16.0;145.0;4.9
30/10/2016 10:00;53.0;55.0;49.0;0.0;;709.1;16.6;16.9;14.8;135.0;3.5
30/10/2016 9:00;50.0;57.0;49.0;0.0;;709.2;15.3;15.7;13.7;159.0;5.0
30/10/2016 8:00;52.0;57.0;52.0;0.0;;708.9;13.8;13.8;12.1;123.0;3.8
30/10/2016 7:00;57.0;68.0;56.0;0.0;0.0;708.3;12.1;12.1;8.5;106.0;2.2
30/10/2016 6:00;65.0;67.0;64.0;0.0;;707.8;9.2;9.5;8.1;159.0;2.9
30/10/2016 5:00;67.0;69.0;66.0;0.0;;707.4;8.6;8.8;8.1;124.0;2.6
30/10/2016 4:00;69.0;69.0;63.0;0.0;;707.2;8.1;9.7;8.1;97.0;1.8
30/10/2016 3:00;65.0;80.0;64.0;0.0;;707.2;9.0;9.4;6.5;132.0;2.5
30/10/2016 2:00;77.0;80.0;70.0;0.0;;707.4;7.1;8.3;6.4;82.0;3.1
30/10/2016 1:00;78.0;78.0;76.0;0.0;;708.0;7.3;8.0;7.3;91.0;2.5
30/10/2016 0:00;77.0;77.0;75.0;0.0;;708.6;8.0;8.5;7.7;79.0;2.9
29/10/2016 23:00;77.0;82.0;76.0;0.0;;708.9;8.3;8.6;7.6;90.0;3.2
29/10/2016 22:00;81.0;82.0;77.0;0.0;;708.9;7.9;8.6;7.8;81.0;4.1
