FECHA HORA;;;;;;;;;;;
;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
;(%);(%);(%);(mm);(mm);(hPa);(°C);(°C);(°C);(°);(m/s)
;INST;MAX;MIN;SUM;SUM;INST;INST;MAX;MIN;INST;INST
31/10/2016 21:00;88.0;89.0;83.0;0.0;;1010.6;21.8;22.7;21.6;180.0;2.2
31/10/2016 20:00;83.0;85.0;82.0;0.0;;1009.6;22.7;23.4;22.6;192.0;1.8
31/10/2016 19:00;83.0;84.0;76.0;0.0;0.0;1008.8;23.2;24.4;22.8;174.0;2.3
31/10/2016 18:00;76.0;76.0;72.0;0.0;;1008.0;24.4;25.7;24.4;203.0;1.5
31/10/2016 17:00;73.0;73.0;68.0;0.0;;1007.7;25.6;25.9;25.5;188.0;1.5
31/10/2016 16:00;70.0;72.0;69.0;0.0;;1007.9;25.7;25.7;25.3;203.0;2.0
31/10/2016 15:00;71.0;73.0;70.0;0.0;;1008.3;25.7;25.7;25.2;188.0;2.4
31/10/2016 14:00;72.0;73.0;69.0;0.0;;1008.6;25.5;26.1;25.4;169.0;1.9
31/10/2016 13:00;71.0;75.0;69.0;0.0;0.0;1009.3;25.8;25.9;24.9;185.0;1.3
31/10/2016 12:00;71.0;74.0;69.0;0.0;;1010.0;25.5;26.1;25.1;177.0;2.4
31/10/2016 7:00;;;;;0.0;;;;;;
31/10/2016 1:00;;90.0;89.0;0.0;;;;21.7;21.4;;
31/10/2016 0:00;90.0;91.0;89.0;0.0;;1010.6;21.5;21.6;21.0;192.0;1.0
30/10/2016 23:00;90.0;90.0;87.0;0.0;;1010.9;21.3;21.7;21.2;185.0;1.8
30/10/2016 22:00;87.0;88.0;87.0;0.0;;1010.7;21.6;22.0;21.6;165.0;2.6
