;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRESION ATMOSFERICA;PRECIPITACION (ACUM);TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
31/10/2016 21:00;89.0;97.0;84.0;0.1;;;6.5;7.0;6.2;199.0;0.4
31/10/2016 20:00;97.0;98.0;94.0;0.0;;;6.4;6.7;6.0;129.0;0.9
31/10/2016 19:00;97.0;98.0;94.0;0.0;;0.4;6.5;6.7;6.2;181.0;1.6
31/10/2016 18:00;96.0;96.0;91.0;0.4;;;6.6;7.5;6.6;322.0;0.7
31/10/2016 17:00;92.0;92.0;82.0;0.0;;;7.4;8.1;7.3;286.0;2.3
31/10/2016 16:00;86.0;88.0;76.0;0.0;;;7.7;8.8;7.5;344.0;1.7
31/10/2016 15:00;76.0;84.0;72.0;0.0;;;7.9;9.1;7.9;310.0;2.8
31/10/2016 14:00;76.0;83.0;70.0;0.0;;;8.8;10.5;8.3;324.0;2.8
31/10/2016 13:00;75.0;79.0;68.0;0.0;;0.0;9.7;10.8;8.5;304.0;2.5
31/10/2016 12:00;69.0;72.0;64.0;0.0;;;10.2;10.8;9.0;321.0;4.1
31/10/2016 11:00;68.0;72.0;67.0;0.0;;;10.0;10.1;8.7;316.0;4.8
31/10/2016 10:00;69.0;70.0;56.0;0.0;;;9.0;9.5;8.6;319.0;3.7
31/10/2016 9:00;59.0;61.0;50.0;0.0;;;9.1;9.4;8.0;292.0;2.8
31/10/2016 8:00;51.0;51.0;34.0;0.0;;;8.3;10.5;8.2;295.0;2.4
31/10/2016 7:00;38.0;45.0;36.0;0.0;;0.0;9.2;9.4;5.6;134.0;2.0
31/10/2016 6:00;44.0;63.0;36.0;0.0;;;5.6;7.1;5.1;197.0;5.6
31/10/2016 5:00;50.0;69.0;50.0;0.0;;;5.1;6.2;5.1;129.0;1.6
31/10/2016 4:00;66.0;67.0;44.0;0.0;;;6.0;7.4;5.8;309.0;1.9
31/10/2016 3:00;65.0;76.0;55.0;0.0;;;6.3;7.6;5.5;210.0;0.8
31/10/2016 2:00;76.0;78.0;71.0;0.0;;;5.7;6.3;5.2;262.0;0.3
31/10/2016 1:00;75.0;78.0;73.0;0.0;;;6.3;6.7;5.8;254.0;1.7
31/10/2016 0:00;79.0;79.0;71.0;0.0;;;5.8;6.7;5.8;288.0;1.2
30/10/2016 23:00;78.0;87.0;73.0;0.0;;;6.2;7.5;5.3;257.0;2.1
