FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
08/11/2016 10:00;63.0;70.0;59.0;0.0;;709.5;14.8;15.0;12.9;164.0;5.7
08/11/2016 9:00;62.0;67.0;54.0;0.0;;709.5;14.4;15.6;13.9;119.0;4.6
08/11/2016 8:00;61.0;76.0;60.0;0.0;;708.9;13.7;13.9;10.5;123.0;3.0
08/11/2016 7:00;71.0;83.0;68.0;0.0;0.0;708.5;10.8;11.0;5.7;348.0;0.4
08/11/2016 6:00;80.0;87.0;79.0;0.0;;707.8;6.1;6.7;5.3;118.0;2.1
08/11/2016 5:00;82.0;93.0;81.0;0.0;;707.2;6.6;7.1;5.5;169.0;0.6
08/11/2016 4:00;91.0;92.0;81.0;0.0;;707.0;5.4;7.0;5.3;154.0;1.0
08/11/2016 3:00;87.0;96.0;87.0;0.0;;706.9;6.3;6.6;5.8;181.0;0.9
08/11/2016 2:00;93.0;96.0;89.0;0.0;;707.2;6.1;7.1;6.0;205.0;0.5
08/11/2016 1:00;89.0;95.0;86.0;0.0;;707.7;6.9;7.6;6.6;227.0;0.7
08/11/2016 0:00;92.0;93.0;91.0;0.0;;708.5;7.7;8.9;7.6;181.0;0.5
07/11/2016 23:00;92.0;100.0;92.0;0.0;;709.0;8.8;9.3;8.6;87.0;1.2
07/11/2016 22:00;100.0;100.0;100.0;0.0;;709.1;9.2;9.3;9.0;313.0;0.5
07/11/2016 21:00;100.0;100.0;99.0;0.0;;709.0;9.0;9.1;8.6;19.0;0.6
07/11/2016 20:00;99.0;99.0;99.0;0.0;;708.1;9.1;9.3;8.8;24.0;0.8
07/11/2016 19:00;99.0;99.0;98.0;0.0;0.0;707.4;9.2;9.5;8.9;330.0;1.8
07/11/2016 18:00;98.0;98.0;93.0;0.0;;707.1;9.5;10.7;9.5;353.0;1.2
07/11/2016 17:00;94.0;95.0;91.0;0.0;;706.7;10.6;11.3;10.3;343.0;1.3
07/11/2016 16:00;94.0;94.0;76.0;0.0;;706.6;11.0;13.6;10.7;5.0;1.3
07/11/2016 15:00;78.0;79.0;50.0;0.0;;706.6;13.3;18.5;13.1;339.0;2.1
07/11/2016 14:00;57.0;62.0;52.0;0.0;;707.1;17.4;17.6;15.3;152.0;3.9
07/11/2016 13:00;61.0;63.0;54.0;0.0;0.0;708.0;15.2;16.9;15.1;164.0;2.8
07/11/2016 12:00;57.0;62.0;52.0;0.0;;708.5;15.2;17.7;15.1;159.0;5.9
07/11/2016 11:00;62.0;69.0;57.0;0.0;;709.3;15.7;16.2;12.9;129.0;4.2
