FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
03/10/2016 21:00;79.0;84.0;79.0;0.0;;708.3;11.0;11.1;10.2;154.0;3.0
03/10/2016 20:00;84.0;84.0;82.0;0.0;;707.9;10.4;11.3;10.3;103.0;2.9
03/10/2016 19:00;82.0;82.0;78.0;0.0;0.2;707.3;11.2;11.8;11.0;117.0;4.0
03/10/2016 18:00;78.0;82.0;77.0;0.1;;706.6;11.8;11.9;11.2;136.0;3.2
03/10/2016 17:00;78.0;84.0;75.0;0.0;;706.4;12.0;12.7;11.5;110.0;4.1
03/10/2016 16:00;83.0;83.0;72.0;0.1;;706.3;11.4;12.8;11.4;170.0;2.4
03/10/2016 15:00;74.0;78.0;71.0;0.0;;706.7;12.7;13.0;12.5;135.0;3.9
03/10/2016 14:00;75.0;80.0;72.0;0.0;;707.1;12.6;12.8;11.8;97.0;2.7
03/10/2016 13:00;77.0;79.0;65.0;0.0;0.0;707.9;12.4;13.6;11.9;78.0;2.4
03/10/2016 12:00;68.0;72.0;63.0;0.0;;708.6;13.0;14.4;12.9;102.0;3.4
03/10/2016 11:00;66.0;70.0;62.0;0.0;;708.9;13.9;14.2;11.9;135.0;4.9
03/10/2016 10:00;67.0;71.0;66.0;0.0;;709.0;12.2;12.3;11.3;141.0;5.9
03/10/2016 9:00;68.0;74.0;67.0;0.0;;708.7;12.2;12.3;11.2;118.0;5.3
03/10/2016 8:00;73.0;75.0;70.0;0.0;;708.6;11.2;11.8;10.4;104.0;2.5
03/10/2016 7:00;74.0;76.0;74.0;0.0;0.0;708.0;10.5;10.5;9.9;117.0;3.3
03/10/2016 6:00;75.0;75.0;73.0;0.0;;707.6;10.1;10.3;10.0;122.0;3.3
03/10/2016 5:00;74.0;75.0;71.0;0.0;;707.2;10.2;10.4;10.1;122.0;2.0
03/10/2016 4:00;74.0;75.0;73.0;0.0;;707.0;10.2;10.2;9.6;162.0;3.8
03/10/2016 3:00;75.0;75.0;69.0;0.0;;707.1;9.6;10.7;9.6;153.0;3.3
03/10/2016 2:00;72.0;75.0;71.0;0.0;;707.5;10.3;10.7;10.1;162.0;3.7
03/10/2016 1:00;75.0;78.0;73.0;0.0;;708.2;10.4;10.9;10.0;162.0;4.4
03/10/2016 0:00;74.0;77.0;73.0;0.0;;708.8;10.9;11.0;10.5;167.0;4.0
02/10/2016 23:00;77.0;79.0;77.0;0.0;;709.2;10.6;10.8;10.4;165.0;4.1
02/10/2016 22:00;79.0;80.0;77.0;0.0;;709.1;10.6;11.0;10.4;162.0;3.3
