FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
03/10/2016 21:00;79.0;79.0;77.0;0.0;;1008.6;24.5;25.7;24.5;201.0;1.8
03/10/2016 20:00;78.0;78.0;66.0;0.0;;1007.8;25.7;28.0;25.7;207.0;2.3
03/10/2016 19:00;66.0;67.0;62.0;0.0;0.0;1006.4;28.0;28.8;28.0;207.0;1.3
03/10/2016 18:00;62.0;62.0;54.0;0.0;;1005.3;28.8;31.2;28.8;205.0;1.2
03/10/2016 17:00;56.0;57.0;52.0;0.0;;1004.6;31.1;31.5;30.3;186.0;1.0
03/10/2016 16:00;54.0;59.0;51.0;0.0;;1004.5;31.5;32.3;30.1;240.0;1.7
03/10/2016 15:00;58.0;60.0;55.0;0.0;;1005.1;30.1;31.0;29.6;235.0;1.3
03/10/2016 14:00;59.0;62.0;54.0;0.0;;1006.0;29.7;30.6;29.3;189.0;1.7
03/10/2016 13:00;57.0;66.0;53.0;0.0;0.0;1007.0;29.9;30.2;28.0;194.0;1.0
03/10/2016 12:00;66.0;71.0;63.0;0.0;;1008.3;28.3;28.5;26.2;288.0;0.2
03/10/2016 11:00;70.0;78.0;68.0;0.0;;1009.3;26.4;26.7;25.1;165.0;1.6
03/10/2016 10:00;74.0;85.0;73.0;0.0;;1009.9;25.3;25.7;23.2;310.0;0.9
03/10/2016 9:00;84.0;90.0;84.0;0.0;;1010.0;23.2;23.3;22.4;264.0;1.2
03/10/2016 8:00;89.0;91.0;84.0;0.0;;1009.6;22.5;22.6;22.0;335.0;1.3
03/10/2016 7:00;85.0;87.0;85.0;0.0;0.0;1008.9;22.6;22.6;22.3;194.0;0.6
03/10/2016 6:00;86.0;90.0;85.0;0.0;;1008.3;22.4;22.4;21.9;178.0;1.7
03/10/2016 5:00;89.0;89.0;82.0;0.0;;1007.8;22.1;22.6;22.1;115.0;1.4
03/10/2016 4:00;82.0;83.0;82.0;0.0;;1007.9;22.6;22.7;22.5;122.0;0.9
03/10/2016 3:00;83.0;85.0;83.0;0.0;;1008.4;22.5;22.5;22.2;145.0;1.7
03/10/2016 2:00;83.0;84.0;83.0;0.0;;1008.8;22.4;22.4;22.2;235.0;0.9
03/10/2016 1:00;84.0;84.0;82.0;0.0;;1009.0;22.4;22.6;22.3;226.0;0.8
03/10/2016 0:00;82.0;84.0;82.0;0.0;;1009.5;22.5;22.7;22.4;224.0;2.1
02/10/2016 23:00;84.0;84.0;83.0;0.0;;1010.1;22.7;23.0;22.6;214.0;1.6
02/10/2016 22:00;83.0;84.0;83.0;0.0;;1009.6;23.0;23.4;22.9;195.0;2.1
